1632
Catapult Turtle|YGLD-ENA08
Evilswarm Ketos|BPW2-EN050
Evilswarm Ketos|WGRT-EN050
Gishki Marker|DT05-EN066
Skull Kraken|BPW2-EN041
Skull Kraken|WGRT-EN041
Swap Frog|OP03-EN001
Yomi Ship|BPW2-EN006
Yomi Ship|WGRT-EN006
Aloof Lupine|MP20-EN015
Berserk Gorilla|BPW2-EN009
Berserk Gorilla|WGRT-EN009
Big-Tusked Mammoth|BPW2-EN013
Big-Tusked Mammoth|WGRT-EN013
Chimaera, the Master of Beasts|WCPS-AE803
Chimera the Flying Mythical Beast|YGLD-ENB41
Diamond Dire Wolf|CT10-EN012
Firewing Pegasus|WCS-AE503
Gazelle the King of Mythical Beasts|YGLD-ENB10
Griffore|YGLD-ENA13
Grizzly, the Red Star Beast|2010-EN002
Hop Ear Squadron|MP20-EN164
Hypnocorn|BPW2-EN034
Hypnocorn|WGRT-EN034
Madolche Baaple|BPW2-EN049
Madolche Baaple|WGRT-EN049
Mementotlan Tatsunootoshigo|VASM-EN003
Mogmole|BPW2-EN052
Mogmole|WGRT-EN052
Playful Possum|BPW2-EN033
Playful Possum|WGRT-EN033
T.G. Rush Rhino|BATT-EN020
Test Panther|MP20-EN176
The Twin Kings, Founders of the Empire|2015-EN003
The Twin Kings, Founders of the Empire|2014-EN001
Vampiric Koala|BP03-EN094
Vampiric Koala|ORCS-EN093
Yokotuner|INOV-ENSE4
Beaver Warrior|YGLD-ENA12
Brotherhood of the Fire Fist - Bear|CT10-EN008
Bujin Yamato|AP05-EN001
Dragoons of Draconia|SECE-ENSP1
Fire King Avatar Rangbali|SR14-EN003
Gladiator Beast Attorix|MP20-EN156
Gladiator Beast Heraklinos|TU02-EN000
King Landia the Goldfang|2012-AE003
King Landia the Goldfang|2011-EN001
Meteo the Matchless|WCS-EN402
Reborn Tengu|EXVC-ENSP1
Sengenjin|WCS-AE403
Skuna, the Leonine Rakan|WCPS-EN902
XX-Saber Boggart Knight|TSHD-ENSP1
XX-Saber Gardestrike|ANPR-ENSP1
XX-Saber Gottoms|CT06-ENS04
Zoodiac Kataroost|RATE-ENSE3
Zoodiac Whiptail|OP05-EN002
Cyberse Quantum Dragon|MP20-EN018
Decode Talker|SP18-EN031
Decode Talker|OP06-EN001
Firewall Dragon|OP16-EN002
Firewall Dragon|GFTP-EN131
Firewall Dragon Darkfluid|MP20-EN168
Firewall eXceed Dragon|MP20-EN067
I:P Masquerena|MP20-EN178
Link Spider|OP07-EN002
Linkmail Archfiend|MP20-EN125
Marincess Blue Slug|MP20-EN118
Marincess Blue Tang|MP20-EN149
Marincess Coral Anemone|MP20-EN119
Marincess Crown Tail|MP20-EN148
Marincess Crystal Heart|MP20-EN170
Marincess Mandarin|MP20-EN147
Marincess Marbled Rock|MP20-EN120
Marincess Sea Angel|MP20-EN172
Marincess Sea Horse|MP20-EN102
Marincess Sea Star|MP20-EN103
Marincess Wonder Heart|MP20-EN171
Mekk-Knight Crusadia Avramax|MP20-EN071
Micro Coder|LOD2-EN002
Proxy Horse|GFP2-EN040
RAM Clouder|YS18-EN006
RAM Clouder|YS17-EN003
Rasterliger|FIGA-EN047
Rebuildeer|MP22-EN245
Rebuildeer|BODE-EN094
Recovery Sorcerer|MP18-EN198
Recovery Sorcerer|EXFO-EN042
Rescue Interlacer|RIRA-EN001
Salamangreat Fennec|MP20-EN051
Salamangreat Foxer|MP20-EN004
Salamangreat Heatleo|SDSB-EN040
Salamangreat Parro|MP20-EN003
Salamangreat Pyro Phoenix|MP20-EN169
Salamangreat Sunlight Wolf|MP20-EN020
Salamangreat Violet Chimera|MP20-EN016
Salamangreat Wolvie|MP20-EN002
Beatraptor|MP20-EN115
Black Brachios|SGX1-ENI10
Black Brachios|SR04-EN010
Black Brachios|BP03-EN112
Black Brachios|BP03-EN112
Black Brachios|LVAL-EN038
Black Ptera|SBTK-EN020
Black Ptera|SD09-EN012
Dinowrestler Chimera T Wrextle|MP20-EN063
Dinowrestler Coelasilat|MP20-EN053
Dinowrestler Eskrimamenchi|MP20-EN052
Dinowrestler Giga Spinosavate|MP20-EN066
Dinowrestler Martial Ampelo|MP20-EN150
Dinowrestler Martial Anga|MP20-EN054
Dinowrestler Martial Ankylo|MP20-EN104
Dinowrestler Rambrachio|MP20-EN105
Dinowrestler Terra Parkourio|MP20-EN069
Dinowrestler Valeonyx|MP20-EN151
Evilswarm Salamandra|BPW2-EN058
Evilswarm Salamandra|WGRT-EN058
Gatebridgeo the Waterfront Warbeast|2023-EN002
Jurrac Gallim|BPW2-EN038
Jurrac Gallim|WGRT-EN038
Jurrac Guaiba|BATT-EN019
Jurrac Protops|DT02-EN065
Lancephorhynchus|NECH-ENSP1
Mammoth Graveyard|YGLD-ENA16
Sauropod Brachion|BPW2-EN027
Sauropod Brachion|WGRT-EN027
Steel Cavalry of Dinon|BOSH-ENSP1
Submareed Tour Ride|BACH-EN027
Super Conductor Tyranno|SR04-EN005
Super Conductor Tyranno|BP02-EN046
Super Conductor Tyranno|BP02-EN046
Super Conductor Tyranno|BP01-EN013
Super Conductor Tyranno|BP01-EN013
Super Conductor Tyranno|WCPP-EN017
Super Conductor Tyranno|SD09-EN001
Super-Ancient Dinobeast|SS03-ENA08
Super-Ancient Dinobeast|SR04-EN007
